Timestamp[Day.Month.Year Hour:Minute:Second:Milisecond],sampleNum,tagLEDC1_PD1,tagLEDC2_PD1,tagLEDC3_PD1,LED1_PPG1,LED2_PPG1,LED3_PPG1,ACC_X[mg],ACC_Y[mg],ACC_Z[mg]
13.10.2024 12:44:27:133,298,0,1,2,28671,58869,5067,20,25,997
13.10.2024 12:44:27:136,299,0,1,2,28671,58873,5067,22,22,1000
13.10.2024 12:44:27:140,300,0,1,2,28674,58876,5066,19,27,991
13.10.2024 12:44:27:143,301,0,1,2,28678,58872,5067,21,27,991
13.10.2024 12:44:27:146,302,0,1,2,28677,58878,5070,15,28,987
13.10.2024 12:44:27:149,303,0,1,2,28676,58876,5067,17,22,994
13.10.2024 12:44:27:153,304,0,1,2,28678,58876,5067,18,27,995
13.10.2024 12:44:27:156,305,0,1,2,28669,58865,5066,17,29,1001
13.10.2024 12:44:27:159,306,0,1,2,28660,58852,5064,17,29,1005
13.10.2024 12:44:27:162,307,0,1,2,28673,58858,5065,18,25,998
13.10.2024 12:44:27:166,308,0,1,2,28668,58854,5066,16,28,1005
13.10.2024 12:44:27:169,309,0,1,2,28679,58877,5068,18,32,988
13.10.2024 12:44:27:172,310,0,1,2,28679,58869,5066,22,28,996
13.10.2024 12:44:27:175,311,0,1,2,28677,58877,5067,18,30,989
13.10.2024 12:44:27:179,312,0,1,2,28670,58862,5065,16,27,999
13.10.2024 12:44:27:182,313,0,1,2,28667,58867,5067,18,31,992
13.10.2024 12:44:27:185,314,0,1,2,28673,58873,5068,20,26,989
13.10.2024 12:44:27:188,315,0,1,2,28672,58870,5066,14,26,992
13.10.2024 12:44:27:192,316,0,1,2,28679,58874,5067,16,30,994
13.10.2024 12:44:27:195,317,0,1,2,28676,58871,5068,18,30,998
13.10.2024 12:44:27:198,318,0,1,2,28670,58864,5067,18,29,996
13.10.2024 12:44:27:201,319,0,1,2,28669,58857,5067,12,20,1004
13.10.2024 12:44:27:205,320,0,1,2,28666,58860,5065,13,20,997
13.10.2024 12:44:27:208,321,0,1,2,28674,58865,5067,16,20,997
13.10.2024 12:44:27:211,322,0,1,2,28670,58865,5064,15,20,996
13.10.2024 12:44:27:214,323,0,1,2,28676,58873,5066,14,19,991
13.10.2024 12:44:27:218,324,0,1,2,28669,58857,5065,21,21,1001
13.10.2024 12:44:27:221,325,0,1,2,28666,58862,5065,18,20,998
13.10.2024 12:44:27:224,326,0,1,2,28666,58863,5068,17,13,997
13.10.2024 12:44:27:227,327,0,1,2,28663,58864,5067,20,16,999
13.10.2024 12:44:27:231,328,0,1,2,28679,58871,5067,15,16,990
13.10.2024 12:44:27:234,329,0,1,2,28677,58874,5068,16,19,981
13.10.2024 12:44:27:237,330,0,1,2,28691,58900,5068,17,21,969
13.10.2024 12:44:27:240,331,0,1,2,28671,58860,5069,17,23,997
13.10.2024 12:44:27:243,332,0,1,2,28678,58876,5066,20,19,1002
13.10.2024 12:44:27:247,333,0,1,2,28649,58830,5063,20,11,1023
13.10.2024 12:44:27:250,334,0,1,2,28660,58854,5068,19,15,997
13.10.2024 12:44:27:253,335,0,1,2,28671,58872,5066,19,15,997
13.10.2024 12:44:27:256,336,0,1,2,28677,58883,5069,23,18,981
13.10.2024 12:44:27:260,337,0,1,2,28685,58882,5069,21,21,985
13.10.2024 12:44:27:263,338,0,1,2,28674,58865,5066,19,21,998
13.10.2024 12:44:27:266,339,0,1,2,28668,58856,5065,21,18,1001
13.10.2024 12:44:27:269,340,0,1,2,28662,58845,5063,23,22,1012
13.10.2024 12:44:27:273,341,0,1,2,28659,58852,5066,20,14,1004
13.10.2024 12:44:27:276,342,0,1,2,28666,58863,5067,21,16,995
13.10.2024 12:44:27:279,343,0,1,2,28674,58864,5067,21,23,993
13.10.2024 12:44:27:282,344,0,1,2,28682,58868,5067,13,24,993
13.10.2024 12:44:27:286,345,0,1,2,28677,58871,5066,15,26,993
13.10.2024 12:44:27:289,346,0,1,2,28678,58869,5067,19,27,993
